,url,timestamp,pageType,year,month,day
168,blog.predpol.com/tag/predictive-policing,20170726113704,tag,2017,07,26
169,blog.predpol.com/tag/predictive-policing/page/2,20200702134158,pageList,2020,07,02
170,blog.predpol.com/tag/smart-policing/page/1,20201031165326,pageList,2020,10,31
171,blog.predpol.com/tag/success-oriented-policing/page/2,20200702131333,pageList,2020,07,02
172,blog.predpol.com/tag/kent-police,20170726174221,tag,2017,07,26
173,blog.predpol.com/tag/patrol-operations/page/3,20201031171046,pageList,2020,10,31
174,blog.predpol.com/tag/smart-policing/page/4,20201127025513,pageList,2020,11,27
175,blog.predpol.com/tag/transparency/page/2,20200702121154,pageList,2020,07,02
176,blog.predpol.com/tag/news/page/1,20220808161857,pageList,2022,08,08
177,blog.predpol.com/tag/predpol/page/3,20201031165820,pageList,2020,10,31
178,blog.predpol.com/tag/dan-crawford,20170726174635,tag,2017,07,26
179,blog.predpol.com/machine-learning-and-policing,20170728033321,blog,2017,07,28
180,blog.predpol.com/tag/predictive-analytics/page/1,20211027030129,pageList,2021,10,27
181,blog.predpol.com/predpol-supports-community-policing,20170727021610,blog,2017,07,27
182,blog.predpol.com/own-your-own-data-with-predpols-new-apis,20181226054807,blog,2018,12,26
183,blog.predpol.com/tag/noble,20170726174700,tag,2017,07,26
184,blog.predpol.com/new-feature-spotlight-dosage-flags,20191025182757,blog,2019,10,25
185,blog.predpol.com/harvard-data-smart-city-solutions-features-predpol,20201031170201,blog,2020,10,31
186,blog.predpol.com/tag/predpol/page/2,20200702133433,pageList,2020,07,02
187,blog.predpol.com/tag/seattle-mayor-mike-mcginn,20170726173641,tag,2017,07,26
188,blog.predpol.com/tag/smart-policing,20170726174852,tag,2017,07,26
189,blog.predpol.com/tag/columbia-south-carolina,20170726173601,tag,2017,07,26
190,blog.predpol.com/tag/crime-displacement,20170726174630,tag,2017,07,26
191,blog.predpol.com/tag/microsoft,20181218223959,tag,2018,12,18
192,blog.predpol.com/tag/ryan-coonerty,20170728073227,tag,2017,07,28
193,blog.predpol.com/tag/gun-violence,20170726174640,tag,2017,07,26
194,blog.predpol.com/using-predpol-daily,20170727021711,blog,2017,07,27
195,blog.predpol.com/tag/columbia-police-department,20170726174625,tag,2017,07,26
196,blog.predpol.com/tag/news,20181218224310,tag,2018,12,18
197,blog.predpol.com/tag/chief-kevin-vogel,20170728072306,tag,2017,07,28
198,blog.predpol.com/tag/news/page/2,20200702121129,pageList,2020,07,02
199,blog.predpol.com/tag/analytics,20170726173759,tag,2017,07,26
200,blog.predpol.com/tag/culture-change/page/1,20201031152558,pageList,2020,10,31
201,blog.predpol.com/just-driving-around-isnt-a-patrol-strategy,20190418152844,blog,2019,04,18
202,blog.predpol.com/not-all-predictive-policing-is-created-equal-heres-why,20170814105502,blog,2017,08,14
203,blog.predpol.com/new-features-crime-analysts,20170727021404,blog,2017,07,27
204,blog.predpol.com/predpol-the-leader-in-predictive-policing-announces-new-board-members,20201031151919,blog,2020,10,31
205,blog.predpol.com/tag/seattle-police,20170726174716,tag,2017,07,26
206,blog.predpol.com/tag/machine-learning/page/2,20200702123438,pageList,2020,07,02
207,blog.predpol.com/happy-birthday-to-predpol,20200806151951,blog,2020,08,06
208,blog.predpol.com/tag/machine-learning/page/3,20201031163256,pageList,2020,10,31
209,blog.predpol.com/tag/daily-bruin,20170726173811,tag,2017,07,26
210,blog.predpol.com/predpol-iacp-2016-san-diego,20170726111906,blog,2017,07,26
211,blog.predpol.com/tag/predictive-analytics,20170726174136,tag,2017,07,26
212,blog.predpol.com/crime-displacement-predpol,20201031165542,blog,2020,10,31
213,blog.predpol.com/managing-culture-change-in-law-enforcement,20191107164238,blog,2019,11,07
214,blog.predpol.com/tag/los-angeles-police,20170726174018,tag,2017,07,26
215,blog.predpol.com/tag/dc,20170726173606,tag,2017,07,26
216,blog.predpol.com/predpol-honored-present-noble-conference,20201031164356,blog,2020,10,31
217,blog.predpol.com/san-diego-union-tribune-newspaper-highlights-predpol,20201031152814,blog,2020,10,31
218,blog.predpol.com/july-feature-spotlight-crime-type-filter,20181028095411,blog,2018,10,28
219,blog.predpol.com/tag/richmond-police,20170726174302,tag,2017,07,26
220,blog.predpol.com/tag/grants,20190714035647,tag,2019,07,14
221,blog.predpol.com/tag/predictive-policing/page/3,20201031155118,pageList,2020,10,31
222,blog.predpol.com/tag/salinas-police,20170726174710,tag,2017,07,26
223,blog.predpol.com/are-you-getting-the-most-out-of-your-agencys-data,20190901190117,blog,2019,09,01
224,blog.predpol.com/tag/predpol/page/5,20230609045833,pageList,2023,06,09
225,blog.predpol.com/tag/los-gatos-police,20170726173841,tag,2017,07,26
226,blog.predpol.com/tag/patrol-operations/page/1,20201031165735,pageList,2020,10,31
227,blog.predpol.com/tag/success-oriented-policing/page/3,20201031160055,pageList,2020,10,31
228,blog.predpol.com/are-your-recruiting-and-retention-strategies-working-for-you,20190418152839,blog,2019,04,18
229,blog.predpol.com/tag/machine-learning/page/1,20201031155225,pageList,2020,10,31
230,blog.predpol.com/new-feature-spotlight-interactive-map-points-of-interest-search-more,20191025182802,blog,2019,10,25
231,blog.predpol.com/tag/analytics/page/2,20200702142344,pageList,2020,07,02
232,blog.predpol.com/tag/customer-success/page/2,20200702130042,pageList,2020,07,02
233,blog.predpol.com/tag/machine-learning,20170728073351,tag,2017,07,28
234,blog.predpol.com/5-common-myths-about-predpol,20190415082539,blog,2019,04,15
235,blog.predpol.com/june-feature-spotlight-crime-type-filter,20181028095528,blog,2018,10,28
236,blog.predpol.com/where-does-data-intersect-with-law-enforcement,20170727021433,blog,2017,07,27
237,blog.predpol.com/tag/predictive-analytics/page/3,20211027030257,pageList,2021,10,27
238,blog.predpol.com/predpol-named-to-govtech100-list-for-5th-straight-year,20200126151750,blog,2020,01,26
239,blog.predpol.com/tag/minnesota-public-radio,20170726174231,tag,2017,07,26
240,blog.predpol.com/tag/success-oriented-policing,20170726174044,tag,2017,07,26
241,blog.predpol.com/tag/trade-show,20181218224325,tag,2018,12,18
242,blog.predpol.com/prop-47-and-crime-rise,20170728200333,blog,2017,07,28
243,blog.predpol.com/tag/customer-success/page/1,20201031160326,pageList,2020,10,31
